measurements_parameter,city,location,measurements_value,measurements_lastupdated
O3,,"Shyam Nagar, Palwal - HSPCB",12.85,2022-10-31 01:30:00+00:00
SO2,,"Shyam Nagar, Palwal - HSPCB",10.96,2022-10-31 01:30:00+00:00
O3,,"Hebbal 1st Stage, Mysuru - KSPCB",58.22,2020-01-03 11:15:00+00:00
SO2,,"SFTI Kusdihra, Gaya - BSPCB",3.62,2022-10-16 15:30:00+00:00
O3,,"DRM Office Danapur, Patna - BSPCB",46.75,2022-10-16 16:00:00+00:00
NO2,,"Pallavpuram Phase 2, Meerut - UPPCB",70.9,2022-10-16 16:00:00+00:00
NO2,,"Khadakpada, Kalyan - MPCB",17.14,2022-10-31 01:45:00+00:00
O3,,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",6.89,2022-10-31 01:00:00+00:00
SO2,,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",30.58,2022-10-31 01:00:00+00:00
PM10,,"Corporation Ground, Thrissur - Kerala PCB",58.01,2022-10-16 15:30:00+00:00
PM2.5,,"Deen Dayal Nagar, Sagar - MPPCB",32.14,2022-10-16 15:45:00+00:00
PM2.5,,"Urban, Chamarajanagar - KSPCB",12.92,2022-10-31 02:00:00+00:00
CO,,"Vikas Sadan, Gurugram - HSPCB",210.0,2022-10-31 02:00:00+00:00
O3,,"Zoo Park, Hyderabad - TSPCB",14.1,2022-10-31 02:00:00+00:00
PM2.5,,"Collectorate, Gaya - BSPCB",92.0,2022-10-31 02:00:00+00:00
SO2,,"Vikas Sadan, Gurugram - HSPCB",25.92,2022-10-31 02:00:00+00:00
CO,,"MD University, Rohtak - HSPCB",910.0,2018-02-22 03:45:00+00:00
SO2,,"Zoo Park, Hyderabad - TSPCB",0.0,2022-10-31 02:00:00+00:00
O3,,"Rabindra Bharati University, Kolkata - WBSPCB",433.31,2017-10-19 23:30:00+00:00
PM2.5,,Victoria Memorial - WBSPCB,0.0,2017-10-16 20:45:00+00:00
O3,,IIT,19.79,2018-02-22 03:45:00+00:00
PM2.5,,US Diplomatic Post: New Delhi,241.0,2016-11-09 16:30:00+00:00
PM10,,"Anand Vihar, Delhi - DPCC",504.0,2022-10-31 00:30:00+00:00
NO2,,"Tata Stadium, Jorapokhar - JSPCB",14.32,2022-10-15 12:30:00+00:00
NO2,,"BWSSB Kadabesanahalli, Bengaluru - CPCB",14.9,2022-08-02 05:15:00+00:00
O3,,"Talcher Coalfields,Talcher - OSPCB",21.99,2022-10-31 01:00:00+00:00
CO,,"Punjab Agricultural University, Ludhiana - PPCB",1680.0,2022-10-31 02:00:00+00:00
SO2,,"Punjab Agricultural University, Ludhiana - PPCB",6.04,2022-10-31 02:00:00+00:00
PM10,,"Sri Aurobindo Marg, Delhi - DPCC",309.0,2022-10-31 00:45:00+00:00
O3,,"Sri Aurobindo Marg, Delhi - DPCC",6.1,2022-10-31 00:45:00+00:00
NO2,,"Civil Lines,  Ajmer - RSPCB",26.55,2022-10-31 01:45:00+00:00
SO2,,"Muradpur, Patna - BSPCB",7.13,2022-10-16 15:45:00+00:00
O3,,"Thavakkara, Kannur - Kerala PCB",13.71,2022-10-16 15:30:00+00:00
PM10,,"Thavakkara, Kannur - Kerala PCB",67.2,2022-10-16 15:30:00+00:00
O3,,"Murthal, Sonipat - HSPCB",17.4,2022-10-16 16:00:00+00:00
NO2,,"Vijay Nagar, Ramanagara - KSPCB",12.8,2022-10-31 02:00:00+00:00
SO2,,"Bandra Kurla Complex, Mumbai - IITM",19.12,2022-10-16 15:45:00+00:00
PM2.5,,"Borivali East, Mumbai - IITM",0.0,2022-07-08 07:15:00+00:00
CO,,"Revenue Colony-Shivajinagar, Pune - IITM",2660.0,2022-07-07 07:15:00+00:00
SO2,,"Haji Colony, Raichur - KSPCB",18.74,2022-10-16 09:30:00+00:00
PM10,,"Tamaka Ind. Area, Kolar - KSPCB",88.0,2022-10-31 02:00:00+00:00
PM2.5,,"B.Katihalli, Hassan - KSPCB",10.0,2022-10-16 15:45:00+00:00
O3,,"Gyaspur, Ahmedabad - IITM",0.0,2022-07-07 08:45:00+00:00
PM10,,"Town Hall - Lal Bagh, Darbhanga - BSPCB",479.0,2022-10-31 01:45:00+00:00
PM2.5,,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",113.0,2022-10-16 15:45:00+00:00
SO2,,"Sector 22, Chandigarh - CPCC",4.9,2022-10-31 01:45:00+00:00
SO2,,"Nagar Nigam, Prayagraj - UPPCB",27.23,2022-10-31 02:00:00+00:00
NO2,,"FTI Kidwai Nagar, Kanpur - UPPCB",24.88,2022-10-31 02:00:00+00:00
PM10,,"SDM Office_Khagra, Kishanganj - BSPCB",168.0,2022-10-31 01:45:00+00:00
O3,,"SDM Office_Khagra, Kishanganj - BSPCB",15.3,2022-10-31 01:45:00+00:00
NO2,,"Dangi Tola, Rajgir - BSPCB",43.8,2022-10-16 15:45:00+00:00
PM10,,"Sector-53, Chandigarh - CPCC",94.0,2022-10-31 01:45:00+00:00
PM2.5,,"Raikhad, Ahmedabad - IITM",0.0,2022-07-07 08:45:00+00:00
NO2,,"DM Office_Kasipur, Samastipur - BSPCB",28.2,2022-10-31 01:45:00+00:00
CO,,"Gurdeo Nagar, Aurangabad - BSPCB",2430.0,2022-10-31 01:45:00+00:00
CO,,"Zero Point GICI, Gangtok - SSPCB",210.0,2022-10-31 01:45:00+00:00
PM2.5,,"New Malakpet, Hyderabad - TSPCB",19.67,2022-10-31 02:00:00+00:00
PM10,,"Kashiram Nagar, Moradabad - UPPCB",82.98,2022-10-31 02:00:00+00:00
PM2.5,,"Chalai Bazaar, Ramanathapuram - TNPCB",53.0,2022-10-31 02:00:00+00:00
CO,,"Sona College of Technology, Salem - TNPCB",740.0,2022-10-03 12:30:00+00:00
NO2,,"PSG College of Arts and Science, Coimbatore - TNPCB",18.41,2022-10-31 02:00:00+00:00
O3,,"PSG College of Arts and Science, Coimbatore - TNPCB",4.32,2022-10-13 16:45:00+00:00
NO2,,"Civil Lines, Bareilly - UPPCB",15.01,2022-10-31 02:00:00+00:00
NO2,,"Aya Nagar, Delhi - IMD",25.02,2022-10-31 01:15:00+00:00
PM10,,"Ardhali Bazar, Varanasi - UPPCB",119.0,2022-10-31 02:00:00+00:00
CO,,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1100.0,2022-10-16 16:00:00+00:00
CO,,"Bollaram Industrial Area, Hyderabad - TSPCB",2670.0,2022-10-31 02:00:00+00:00
SO2,,"GM Office, Brajrajnagar - OSPCB",23.17,2022-10-14 20:00:00+00:00
PM2.5,,"North Campus, DU, Delhi - IMD",147.6,2022-10-31 02:00:00+00:00
SO2,,"ITO, Delhi - CPCB",11.16,2020-01-20 07:15:00+00:00
PM10,,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",165.62,2022-10-31 01:45:00+00:00
CO,,"IDA Pashamylaram, Hyderabad - TSPCB",800.0,2022-10-31 02:00:00+00:00
O3,,"RIMT University, Mandi Gobindgarh - PPCB",68.34,2022-10-31 02:00:00+00:00
PM2.5,,"Police Commissionerate, Jaipur - RSPCB",119.93,2022-10-31 01:45:00+00:00
O3,,"R K Puram, New Delhi - DPCC",8.7,2018-05-06 19:30:00+00:00
PM10,,"Tirumala, Tirupati - APPCB",91.0,2022-10-31 02:00:00+00:00
O3,,"Velachery Res. Area, Chennai - CPCB",3.58,2022-10-31 01:45:00+00:00
SO2,,"Velachery Res. Area, Chennai - CPCB",19.93,2022-10-31 01:45:00+00:00
PM2.5,,"Velachery Res. Area, Chennai - CPCB",32.0,2022-10-31 01:45:00+00:00
CO,,"PWD Grounds, Vijayawada - APPCB",560.0,2020-11-19 08:15:00+00:00
PM10,,"Patparganj, Delhi - DPCC",149.0,2018-05-13 11:30:00+00:00
PM2.5,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",129.0,2018-05-12 04:45:00+00:00
PM2.5,,"Major Dhyan Chand National Stadium, Delhi - DPCC",62.0,2018-05-10 09:30:00+00:00
CO,,"Ashok Vihar, Delhi - DPCC",900.0,2018-05-12 04:30:00+00:00
CO,,"Okhla Phase-2, Delhi - DPCC",1400.0,2018-05-12 05:30:00+00:00
O3,,"Rabindra Bharati University, Kolkata - WBPCB",25.0,2022-03-24 23:30:00+00:00
O3,,"Punjabi Bagh, Delhi - DPCC",6.3,2022-10-16 14:15:00+00:00
CO,,"Ratanpura, Rupnagar - Ambuja Cements",1060.0,2022-10-31 01:45:00+00:00
CO,,"New Mandi, Muzaffarnagar - UPPCB",770.0,2022-10-31 02:00:00+00:00
SO2,,"Indirapuram, Ghaziabad - UPPCB",12.7,2022-10-31 02:00:00+00:00
CO,,"Vasai West, Mumbai - MPCB",720.0,2022-10-31 02:00:00+00:00
PM2.5,,"Gobind Pura, Yamuna Nagar - HSPCB",53.9,2022-10-31 01:30:00+00:00
PM2.5,,"Kurla, Mumbai - MPCB",72.0,2022-10-31 02:00:00+00:00
CO,,"General Hospital, Mandikhera - HSPCB",840.0,2022-10-31 01:45:00+00:00
SO2,,"General Hospital, Mandikhera - HSPCB",726.63,2022-10-31 01:45:00+00:00
CO,,"Murthal, Sonipat - HSPCB",3450.0,2020-01-02 06:45:00+00:00
NO2,,"Borivali East, Mumbai - MPCB",11.5,2022-10-31 02:00:00+00:00
PM2.5,,"Udyogamandal, Eloor - Kerala PCB",26.63,2022-10-31 01:45:00+00:00
PM10,,"Phase-1 GIDC, Vapi - GPCB",53.9,2022-10-12 04:45:00+00:00
O3,,"Bapuji Nagar, Bengaluru - KSPCB",5.5,2022-10-31 02:00:00+00:00
PM10,,"Bapuji Nagar, Bengaluru - KSPCB",170.0,2022-10-31 02:00:00+00:00
O3,,"Hombegowda Nagar, Bengaluru - KSPCB",7.49,2022-10-16 16:00:00+00:00
NO2,,"Hebbal, Bengaluru - KSPCB",26.5,2022-10-31 02:00:00+00:00
SO2,,"Sector-7, Kurukshetra - HSPCB",7.49,2022-10-31 01:45:00+00:00
CO,,"Kariavattom, Thiruvananthapuram - Kerala PCB",0.0,2022-10-16 15:45:00+00:00
O3,,"Anand Vihar, Hapur - UPPCB",13.1,2022-10-31 02:00:00+00:00
NO2,,"Vyttila, Kochi - Kerala PCB",0.01,2022-10-16 16:00:00+00:00
O3,,"Vidayagiri, Bagalkot - KSPCB",15.44,2022-10-16 15:45:00+00:00
PM2.5,,"Teri Gram, Gurugram - HSPCB",79.9,2022-10-16 16:00:00+00:00
NO2,,"PWD Juction, Kohima - NPCB",2.57,2022-10-16 16:00:00+00:00
CO,,"Railway Colony, Guwahati - PCBA",340.0,2022-10-31 01:45:00+00:00
SO2,,"Vijay Nagar, Ramanagara - KSPCB",26.2,2022-10-31 02:00:00+00:00
PM10,,"Marhatal, Jabalpur - MPPCB",91.0,2022-10-16 16:00:00+00:00
PM2.5,,"Sanjay Nagar, Ghaziabad - UPPCB",226.0,2022-10-31 02:00:00+00:00
NO2,,"Meelavittan, Thoothukudi - TNPCB",16.6,2022-10-16 16:00:00+00:00
PM10,,"Kunjaban, Agartala - Tripura SPCB",134.0,2022-10-16 16:00:00+00:00
PM10,,"Chandni Chowk, Delhi - IITM",89.1,2022-08-02 10:30:00+00:00
NO2,,"Borivali East, Mumbai - IITM",1.44,2022-07-08 07:15:00+00:00
PM2.5,,"Malad West, Mumbai - IITM",3.99,2022-10-16 15:45:00+00:00
CO,,"Khindipada-Bhandup West, Mumbai - IITM",460.0,2022-09-22 05:30:00+00:00
PM10,,"Haji Colony, Raichur - KSPCB",39.0,2022-10-16 09:30:00+00:00
SO2,,"Tamaka Ind. Area, Kolar - KSPCB",42.55,2022-10-31 02:00:00+00:00
PM10,,"Naharlagun, Naharlagun - APSPCB",13.5,2022-10-15 02:45:00+00:00
PM10,,"B R Ambedkar University, Lucknow - UPPCB",174.25,2022-10-16 16:00:00+00:00
NO2,,"Gyaspur, Ahmedabad - IITM",-0.02,2022-07-07 08:45:00+00:00
CO,,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",1010.0,2022-07-08 07:00:00+00:00
CO,,"SAC ISRO Bopal, Ahmedabad - IITM",0.0,2022-06-22 08:45:00+00:00
PM2.5,,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",85.75,2022-10-31 02:00:00+00:00
O3,,"Kamalnath Nagar, Bettiah - BSPCB",0.01,2021-07-22 04:00:00+00:00
CO,,"Nagar Nigam, Prayagraj - UPPCB",1520.0,2022-10-31 02:00:00+00:00
CO,,"Mangala, Bilaspur - NTPC",1000.0,2022-10-31 02:00:00+00:00
NO2,,"Mirchaibari, Katihar - BSPCB",44.9,2022-10-16 15:45:00+00:00
CO,,"Mirchaibari, Katihar - BSPCB",310.0,2022-10-16 15:45:00+00:00
O3,,"Mariam Nagar, Purnia - BSPCB",7.1,2022-10-31 01:45:00+00:00
PM2.5,,"Dangi Tola, Rajgir - BSPCB",57.0,2022-10-16 15:45:00+00:00
PM2.5,,"Kharahiya Basti, Araria - BSPCB",156.0,2022-10-30 23:15:00+00:00
CO,,"Jigar Colony, Moradabad - UPPCB",740.0,2022-10-31 02:00:00+00:00
CO,,"Shivaji Nagar, Jhansi - UPPCB",1480.0,2022-10-31 02:00:00+00:00
PM10,,"Bardowali, Agartala - Tripura SPCB",82.8,2022-10-31 02:00:00+00:00
O3,,"Doon University, Dehradun - UKPCB",0.0,2022-10-16 15:45:00+00:00
NO2,,"ECIL Kapra, Hyderabad - TSPCB",4.1,2022-10-16 14:15:00+00:00
NO2,,"Kashiram Nagar, Moradabad - UPPCB",11.68,2022-10-31 02:00:00+00:00
PM10,,"IITG, Guwahati - PCBA",37.7,2022-10-16 12:15:00+00:00
SO2,,"IITG, Guwahati - PCBA",1.93,2022-10-16 12:15:00+00:00
CO,,"Girls College, Sivasagar - PCBA",500.0,2022-10-31 02:00:00+00:00
SO2,,"H.B. Colony, Bhiwani - HSPCB",6.33,2022-10-31 01:45:00+00:00
PM10,,"Belur Math, Howrah - WBPCB",0.0,2022-10-31 01:45:00+00:00
SO2,,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",14.47,2020-01-02 23:30:00+00:00
CO,,"Jawaharlal Nehru Stadium, Delhi - DPCC",700.0,2022-10-31 00:45:00+00:00
PM10,,"Patti Mehar, Ambala - HSPCB",125.85,2022-10-31 01:45:00+00:00
NO2,,"Shastri Nagar, Narnaul - HSPCB",19.38,2022-10-31 02:00:00+00:00
NO2,,"Rishi Nagar, Kaithal - HSPCB",6.06,2019-08-07 05:45:00+00:00
SO2,,"Hebbal, Bengaluru - KSPCB",3.2,2022-10-31 02:00:00+00:00
NO2,,"Gomti Nagar, Lucknow - UPPCB",53.2,2022-10-16 16:00:00+00:00
PM2.5,,"DRM Office Danapur, Patna - BSPCB",99.99,2022-10-16 16:00:00+00:00
PM10,,"ICRISAT Patancheru, Hyderabad - TSPCB",62.0,2020-04-28 09:45:00+00:00
PM2.5,,"Sikulpuikawn, Aizawl - Mizoram PCB",3.14,2022-10-16 15:45:00+00:00
SO2,,"Urban, Chamarajanagar - KSPCB",1.99,2022-10-31 02:00:00+00:00
NO2,,"Lalbagh, DN Park",109.32,2018-02-22 04:00:00+00:00
PM10,,"Zoo Park, Hyderabad - TSPCB",126.0,2022-10-31 02:00:00+00:00
CO,,Collectorate - Muzaffarpur - BSPCB,2080.0,2018-02-21 23:45:00+00:00
PM2.5,,"Talkatora District Industries Center, Lucknow - CPCB",90.89,2022-10-31 02:00:00+00:00
O3,,Central School,8.31,2018-02-22 04:00:00+00:00
SO2,,"Sector-6, Panchkula - HSPCB",4.93,2022-10-31 01:45:00+00:00
PM2.5,,"Burari Crossing, Delhi - IMD",0.0,2022-08-03 11:00:00+00:00
O3,,"Alandur Bus Depot, Chennai - CPCB",25.82,2022-10-31 01:45:00+00:00
NO2,,"Collectorate, Jodhpur - RSPCB",48.1,2022-10-31 01:45:00+00:00
NO2,,"Bollaram Industrial Area, Hyderabad - TSPCB",29.4,2022-10-31 02:00:00+00:00
CO,,"Lajpat Nagar, Moradabad - UPPCB",680.0,2022-01-13 05:45:00+00:00
PM10,,"RIMT University, Mandi Gobindgarh - PPCB",142.32,2022-10-31 02:00:00+00:00
O3,,"DTU, Delhi - CPCB",14.3,2022-10-31 01:45:00+00:00
CO,,"CRRI Mathura Road, Delhi - IMD",960.0,2022-10-31 01:15:00+00:00
SO2,,"GVM Corporation, Visakhapatnam - APPCB",22.0,2022-10-31 02:00:00+00:00
O3,,"GVM Corporation, Visakhapatnam - APPCB",15.8,2022-10-31 02:00:00+00:00
O3,,"Lodhi Road, Delhi - IMD",47.96,2022-10-16 10:15:00+00:00
CO,,"Shrinath Puram, Kota - RSPCB",1020.0,2022-10-31 02:00:00+00:00
PM2.5,,"Ward-32 Bapupara, Siliguri - WBPCB",61.79,2022-10-31 01:45:00+00:00
PM2.5,,"Karve Road, Pune - MPCB",1060.0,2022-10-10 11:15:00+00:00
PM10,,"Nehru Nagar, Kanpur - UPPCB",318.0,2022-10-31 02:00:00+00:00
NO2,,"Rohini, Delhi - DPCC",25.5,2018-05-09 11:00:00+00:00
O3,,"Nehru Nagar, Delhi - DPCC",214.0,2018-05-12 06:00:00+00:00
PM2.5,,"Nehru Nagar, Delhi - DPCC",75.0,2018-05-13 10:00:00+00:00
PM2.5,,"Bandhavgar Colony, Satna - Birla Cement",10.19,2022-10-31 02:00:00+00:00
PM2.5,,"Anand Vihar, Delhi - DPCC",50.0,2021-09-20 05:45:00+00:00
NO2,,"Sector-51, Gurugram - HSPCB",4.9,2022-10-16 16:00:00+00:00
PM2.5,,"Ghusuri, Howrah - WBPCB",67.82,2022-10-16 15:45:00+00:00
CO,,"Bidhannagar, Kolkata - WBPCB",660.0,2022-10-16 15:45:00+00:00
SO2,,"Teri Gram, Gurugram - HSPCB",17.27,2022-10-16 16:00:00+00:00
PM2.5,,"Kalyana Nagara, Chikkamagaluru - KSPCB",5.0,2022-10-16 16:00:00+00:00
PM2.5,,"Rabindra Sarobar, Kolkata - WBPCB",46.5,2022-10-31 01:45:00+00:00
SO2,,"Rishi Nagar, Kaithal - HSPCB",2.18,2022-10-31 02:00:00+00:00
CO,,"City Center, Gwalior - MPPCB",1310.0,2022-10-16 16:00:00+00:00
PM2.5,,"Sector 11, Faridabad - HSPCB",141.9,2022-10-16 15:45:00+00:00
CO,,"Sector 11, Faridabad - HSPCB",1960.0,2022-10-16 15:45:00+00:00
PM2.5,,"Sector-12, Karnal - HSPCB",159.43,2022-10-31 01:30:00+00:00
NO2,,"Marhatal, Jabalpur - MPPCB",43.3,2022-10-16 16:00:00+00:00
PM2.5,,"Polayathode, Kollam - Kerala PCB",27.03,2022-10-16 15:45:00+00:00
CO,,"Vinoba Nagara, Shivamogga - KSPCB",560.0,2022-10-16 16:00:00+00:00
SO2,,"Vinoba Nagara, Shivamogga - KSPCB",5.97,2022-10-16 16:00:00+00:00
O3,,"Kodungaiyur, Chennai - TNPCB",15.68,2022-10-16 16:00:00+00:00
CO,,"Mhada Colony, Pune - IITM",750.0,2022-10-16 16:00:00+00:00
O3,,"Mhada Colony, Pune - IITM",11.0,2022-10-16 16:00:00+00:00
O3,,"Diwator Nagar, Koppal - KSPCB",96.97,2022-10-16 14:45:00+00:00
PM2.5,,"Alandi, Pune - IITM",12.9,2022-07-21 04:45:00+00:00
PM10,,"Alandi, Pune - IITM",16.93,2022-07-21 04:45:00+00:00
CO,,"Kandivali East, Mumbai - MPCB",270.0,2022-10-16 15:45:00+00:00
SO2,,"Naubad, Bidar - KSPCB",35.78,2022-10-16 10:15:00+00:00
PM10,,"Motilal Nehru NIT, Prayagraj - UPPCB",169.84,2022-10-31 02:00:00+00:00
CO,,"SVPI Airport Hansol, Ahmedabad - IITM",3330.0,2022-07-07 09:15:00+00:00
NO2,,"GIFT City, Gandhinagar - IITM",12.2,2022-07-07 09:00:00+00:00
O3,,"SAC ISRO Bopal, Ahmedabad - IITM",8.03,2022-06-22 08:45:00+00:00
O3,,"Kukrail Picnic Spot-1, Lucknow - UPPCB",13.54,2022-10-16 16:00:00+00:00
PM10,,"Gandak Colony, Motihari - BSPCB",173.0,2022-10-16 15:45:00+00:00
PM2.5,,"Gandak Colony, Motihari - BSPCB",66.0,2022-10-16 15:45:00+00:00
O3,,"Nagar Nigam, Prayagraj - UPPCB",5.06,2022-10-31 02:00:00+00:00
PM10,,"Dada Peer, Sasaram - BSPCB",100.0,2022-10-31 01:45:00+00:00
PM2.5,,"Buddhi Vihar, Moradabad - UPPCB",83.25,2022-10-16 16:00:00+00:00
O3,,"Jigar Colony, Moradabad - UPPCB",6.67,2022-10-31 02:00:00+00:00
PM10,,"Eco Herbal Park, Moradabad - UPPCB",66.0,2022-10-31 02:00:00+00:00
O3,,"Rohta, Agra - UPPCB",0.0,2022-10-31 02:00:00+00:00
SO2,,"Sector-53, Chandigarh - CPCC",3.7,2022-10-31 01:45:00+00:00
PM2.5,,"Ashwini Nagar, Haveri - KSPCB",20.0,2022-10-16 16:00:00+00:00
O3,,"JN Stadium, Shillong - Meghalaya PCB",9.38,2022-10-15 05:45:00+00:00
SO2,,"ECIL Kapra, Hyderabad - TSPCB",5.52,2022-10-16 14:15:00+00:00
NO2,,"Somajiguda, Hyderabad - TSPCB",3.22,2022-10-16 16:00:00+00:00
SO2,,"Somajiguda, Hyderabad - TSPCB",5.58,2022-10-16 16:00:00+00:00
PM10,,"Kokapet, Hyderabad - TSPCB",41.57,2022-10-31 02:00:00+00:00
CO,,"Kashiram Nagar, Moradabad - UPPCB",580.0,2022-10-31 02:00:00+00:00
SO2,,"Chalai Bazaar, Ramanathapuram - TNPCB",10.05,2022-10-31 02:00:00+00:00
NO2,,"Mendonsa Colony, Dindigul - TNPCB",0.1,2022-10-16 16:00:00+00:00
SO2,,"SIPCOT Phase-1, Hosur - TNPCB",25.85,2022-10-31 01:45:00+00:00
O3,,"Civil Lines, Bareilly - UPPCB",12.55,2022-10-31 02:00:00+00:00
PM2.5,,"Pusa, New Delhi - IMD",0.0,2018-05-14 02:00:00+00:00
PM2.5,,"Shastri Nagar, Jaipur - RSPCB",72.0,2022-10-31 01:45:00+00:00
PM2.5,,"IDA Pashamylaram, Hyderabad - TSPCB",85.0,2022-10-31 02:00:00+00:00
CO,,"Police Commissionerate, Jaipur - RSPCB",1370.0,2022-10-31 01:45:00+00:00
CO,,"Adarsh Nagar, Jaipur - RSPCB",1960.0,2022-10-31 02:00:00+00:00
O3,,"More Chowk Waluj, Aurangabad - MPCB",2.9,2022-10-31 01:45:00+00:00
SO2,,"Central School, Lucknow - CPCB",7.48,2022-10-31 01:45:00+00:00
NO2,,"Vasundhara, Ghaziabad - UPPCB",253.8,2022-10-31 02:00:00+00:00
PM2.5,,"Patparganj, Delhi - DPCC",67.0,2018-05-13 11:30:00+00:00
PM2.5,,"Vivek Vihar, Delhi - DPCC",162.0,2018-05-12 06:00:00+00:00
PM2.5,,"Ashok Vihar, Delhi - DPCC",139.0,2018-05-12 06:00:00+00:00
CO,,"Narela, Delhi - DPCC",1400.0,2018-05-12 04:30:00+00:00
SO2,,"Narela, Delhi - DPCC",15.5,2018-05-12 04:30:00+00:00
SO2,,"Okhla Phase-2, Delhi - DPCC",17.4,2018-05-12 05:30:00+00:00
NO2,,"Ratanpura, Rupnagar - Ambuja Cements",3.79,2022-10-31 01:45:00+00:00
O3,,"Bandhavgar Colony, Satna - Birla Cement",9.53,2022-10-31 02:00:00+00:00
PM10,,"Bandhavgar Colony, Satna - Birla Cement",36.92,2022-10-31 02:00:00+00:00
CO,,"Manali Village, Chennai - TNPCB",650.0,2019-07-19 05:15:00+00:00
PM10,,"Colaba, Mumbai - MPCB",157.8,2022-10-31 01:45:00+00:00
CO,,"Kurla, Mumbai - MPCB",640.0,2022-10-31 02:00:00+00:00
PM2.5,,"Belur Math, Howrah - WBPCB",0.0,2022-10-31 01:45:00+00:00
NO2,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",15.97,2022-10-31 01:45:00+00:00
SO2,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",6.54,2022-10-31 01:45:00+00:00
O3,,"Murthal, Sonipat - HSPCB",6.77,2020-01-02 06:45:00+00:00
PM10,,"Sector-18, Panipat - HSPCB",350.7,2022-10-31 01:45:00+00:00
NO2,,"Police Lines, Jind - HSPCB",38.66,2022-10-31 01:45:00+00:00
SO2,,"Police Lines, Jind - HSPCB",31.82,2022-10-31 01:45:00+00:00
PM2.5,,"Patti Mehar, Ambala - HSPCB",115.58,2022-10-31 01:45:00+00:00
SO2,,"Nathu Colony, Ballabgarh - HSPCB",3.67,2022-10-31 01:45:00+00:00
PM2.5,,"Knowledge Park - III, Greater Noida - UPPCB",245.0,2022-10-31 02:00:00+00:00
NO2,,"Knowledge Park - III, Greater Noida - UPPCB",36.0,2022-10-31 02:00:00+00:00
O3,,"Knowledge Park - III, Greater Noida - UPPCB",2.1,2022-10-31 02:00:00+00:00
NO2,,"Vile Parle West, Mumbai - MPCB",5.36,2022-10-31 01:45:00+00:00
PM10,,"Loni, Ghaziabad - UPPCB",311.0,2022-10-31 02:00:00+00:00
PM10,,"Shyam Nagar, Palwal - HSPCB",120.63,2022-10-31 01:30:00+00:00
NO2,,"MD University, Rohtak - HSPCB",26.03,2022-10-31 01:45:00+00:00
CO,,"Hebbal 1st Stage, Mysuru - KSPCB",340.0,2020-01-03 11:15:00+00:00
CO,,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",350.0,2022-10-31 01:00:00+00:00
PM2.5,,"Ganga Nagar, Meerut - UPPCB",113.0,2022-10-16 15:00:00+00:00
NO2,,"Deen Dayal Nagar, Sagar - MPPCB",12.49,2022-10-16 15:45:00+00:00
SO2,,"GIDC, Nandesari - Nandesari Ind. Association",5.0,2022-10-16 10:15:00+00:00
SO2,,"R K Puram, Delhi - DPCC",56.9,2018-02-21 21:15:00+00:00
PM10,,"Anand Vihar, Delhi - DPCC",670.0,2018-02-21 21:15:00+00:00
O3,,"Lalbagh, DN Park",22.72,2018-02-22 04:00:00+00:00
SO2,,Alandur Bus Depot,29.3,2018-02-22 03:45:00+00:00
SO2,,City Railway Station - KSPCB,5.88,2018-02-21 13:30:00+00:00
CO,,"Talkatora District Industries Center, Lucknow - CPCB",880.0,2022-10-31 02:00:00+00:00
SO2,,"Shadipur, Delhi - CPCB",13.43,2018-02-22 02:45:00+00:00
O3,,"Sanathnagar, Hyderabad - TSPCB",30.0,2018-02-22 03:00:00+00:00
O3,,"Solapur, Solapur - MPCB",30.11,2022-10-31 02:00:00+00:00
PM10,,"Solapur, Solapur - MPCB",113.7,2022-10-31 02:00:00+00:00
CO,,"Punjabi Bagh, Delhi - DPCC",2000.0,2018-05-12 06:00:00+00:00
CO,,"Model Town, Patiala - PPCB",2060.0,2022-10-31 01:45:00+00:00
O3,,"BWSSB Kadabesanahalli, Bengaluru - CPCB",6.84,2022-08-02 05:15:00+00:00
NO2,,"Anand Vihar, Hapur - UPPCB",37.5,2022-10-31 02:00:00+00:00
O3,,"Wazirpur, Delhi - DPCC",5.1,2022-10-31 00:45:00+00:00
O3,,"Narela, Delhi - DPCC",3.9,2022-10-31 00:45:00+00:00
NO2,,"Narela, Delhi - DPCC",66.6,2022-10-31 00:45:00+00:00
PM2.5,,"Mundka, Delhi - DPCC",239.0,2022-10-31 00:45:00+00:00
O3,,"ITO, Delhi - CPCB",15.8,2022-10-31 01:45:00+00:00
PM10,,"Hebbal 1st Stage, Mysuru - KSPCB",45.13,2022-10-31 02:00:00+00:00
CO,,"Hebbal 1st Stage, Mysuru - KSPCB",1150.0,2022-10-31 02:00:00+00:00
PM10,,"Govt. High School Shikarpur, Patna - BSPCB",140.0,2022-10-16 15:45:00+00:00
