country_name_en,measurements_parameter,city,location,measurements_value,measurements_lastupdated
India,CO,,"SIPCOT Phase-1, Hosur - TNPCB",930.0,2022-10-31 01:45:00+00:00
India,CO,,"Civil Lines, Bareilly - UPPCB",600.0,2022-10-31 02:00:00+00:00
India,CO,,"Padmapukur, Howrah - WBPCB",70.0,2022-10-31 01:45:00+00:00
India,CO,,"Shadipur, Delhi - CPCB",2410.0,2022-10-31 02:00:00+00:00
India,CO,,"Sanegurava Halli, Bengaluru - KSPCB",760.0,2022-10-31 02:00:00+00:00
India,CO,,"Knowledge Park - V, Greater Noida - UPPCB",2450.0,2022-10-31 02:00:00+00:00
India,CO,,"Vikas Sadan, Gurugram - HSPCB",210.0,2022-10-31 02:00:00+00:00
India,CO,,"MD University, Rohtak - HSPCB",910.0,2018-02-22 03:45:00+00:00
India,CO,,"Punjab Agricultural University, Ludhiana - PPCB",1680.0,2022-10-31 02:00:00+00:00
India,CO,,"Revenue Colony-Shivajinagar, Pune - IITM",2660.0,2022-07-07 07:15:00+00:00
India,CO,,"Gurdeo Nagar, Aurangabad - BSPCB",2430.0,2022-10-31 01:45:00+00:00
India,CO,,"Zero Point GICI, Gangtok - SSPCB",210.0,2022-10-31 01:45:00+00:00
India,CO,,"Sona College of Technology, Salem - TNPCB",740.0,2022-10-03 12:30:00+00:00
India,CO,,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1100.0,2022-10-16 16:00:00+00:00
India,CO,,"Bollaram Industrial Area, Hyderabad - TSPCB",2670.0,2022-10-31 02:00:00+00:00
India,CO,,"IDA Pashamylaram, Hyderabad - TSPCB",800.0,2022-10-31 02:00:00+00:00
India,CO,,"PWD Grounds, Vijayawada - APPCB",560.0,2020-11-19 08:15:00+00:00
India,CO,,"Ashok Vihar, Delhi - DPCC",900.0,2018-05-12 04:30:00+00:00
India,CO,,"Okhla Phase-2, Delhi - DPCC",1400.0,2018-05-12 05:30:00+00:00
India,CO,,"Ratanpura, Rupnagar - Ambuja Cements",1060.0,2022-10-31 01:45:00+00:00
India,CO,,"New Mandi, Muzaffarnagar - UPPCB",770.0,2022-10-31 02:00:00+00:00
India,CO,,"Vasai West, Mumbai - MPCB",720.0,2022-10-31 02:00:00+00:00
India,CO,,"General Hospital, Mandikhera - HSPCB",840.0,2022-10-31 01:45:00+00:00
India,CO,,"Murthal, Sonipat - HSPCB",3450.0,2020-01-02 06:45:00+00:00
India,CO,,"Kariavattom, Thiruvananthapuram - Kerala PCB",0.0,2022-10-16 15:45:00+00:00
India,CO,,"Railway Colony, Guwahati - PCBA",340.0,2022-10-31 01:45:00+00:00
India,CO,,"Khindipada-Bhandup West, Mumbai - IITM",460.0,2022-09-22 05:30:00+00:00
India,CO,,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",1010.0,2022-07-08 07:00:00+00:00
